filmtv_id;directors;genre;year;nb_comedy_real;nb_drama_real
1258;Carmine Gallone;1;1945;0;4
1263;Buzz Kulik;1;1971;0;1
1268;GÃ©za von RadvÃ¡nyi;1;1963;1;3
1270;Mark Robson;0;1957;0;9
1271;Douglas Sirk;0;1952;1;2
1285;Carlo Ludovico Bragaglia;0;1958;19;2
1289;Francis Veber;0;1981;1;0
1292;Robert Hamer;1;1959;1;1
1295;Chris Columbus;0;1991;2;0
1297;Pasquale Festa Campanile;0;1977;14;2
1298;Giuliano Carnimeo;0;1981;8;2
1302;Carlo Lizzani;0;1961;1;4
1303;Mariano Laurenti;0;1985;33;0
1304;Ferdinando Baldi;0;1974;1;2
1305;Ferdinando Baldi;0;1975;2;2
1306;Paul Schneider;0;1989;0;0
1308;Derek Jarman;1;1986;0;2
1309;Mario Amendola;0;1960;5;0
1311;Otto Preminger;1;1963;4;9
1313;Roy Ward Baker;1;1956;0;2
1314;Enrico Maria Salerno;1;1973;0;1
1319;Flavio Calzavara;1;1942;0;0
1320;Gianni Puccini;0;1958;2;0
1321;Christian-Jaque;1;1943;0;0
1322;Clarence Brown;1;1927;0;0
1324;Robert Kaylor;1;1980;0;0
1327;Mario Monicelli;1;1976;29;3
1339;Jean Renoir;0;1952;1;9
1342;Francesco Nuti;0;1988;3;0
1351;H.C. Potter;0;1948;1;0
1358;Nadine Trintignant;1;1988;0;1
1359;Richard Benjamin;0;1986;3;0
1360;Satyajit Ray;1;1984;1;10
1361;Neri Parenti;0;1988;11;0
1365;Bruno Corbucci;0;1982;29;0
1367;Michael Curtiz;1;1942;0;5
1368;Carlo Ludovico Bragaglia;0;1942;3;1
1369;Pier Francesco Pingitore;0;1980;3;0
1370;AndrÃ© Hunebelle;0;1958;0;0
1372;Guido Chiesa;1;1991;0;0
1373;Giuseppe Ferrara;1;1986;0;2
1374;Michael Sarne;0;1970;0;0
1377;Ralph Thomas;0;1971;4;3
1379;Bryan Forbes;0;1966;0;1
1382;Salvatore Samperi;0;1981;6;6
1383;Nicolas Roeg;1;1987;1;4
1385;Joseph L. Mankiewicz;1;1946;0;0
1387;Raffaello Matarazzo;1;1950;7;1
1389;Mario MattÃ²li;1;1942;9;1
1390;Umberto Lenzi;1;1963;0;0
1391;Paul Czinner;1;1934;0;1
1394;George Miller;1;1993;0;1
1397;Marina Ripa di Meana;1;1992;0;0
1398;Karen Arthur;1;1988;0;2
1399;Ugo Tognazzi;0;1976;2;0
1421;Floyd Mutrux;0;1980;0;0
1422;Goffredo Alessandrini;1;1936;0;0
1424;Sergio Staino;0;1988;0;0
1426;Norman Tokar;0;1970;4;1
1427;Carlo Lizzani;1;1964;2;6
1428;Alessandro Blasetti;1;1941;2;2
1436;Giulio Petroni;0;1959;0;0
1440;Mario Camerini;0;1939;5;3
1443;Susan Seidelman;0;1987;1;0
1444;Glenn Jordan;0;1984;1;1
1445;Susan Seidelman;0;1985;0;0
1449;Marcello Fondato;0;1969;0;1
1455;John Irvin;1;1983;0;1
1458;Marcello Fondato;0;1977;5;1
1463;Charles Chaplin;0;1918;2;0
1464;Norman Z. McLeod;0;1934;1;0
1467;Michael Ritchie;0;1976;1;2
1468;Sergio Corbucci;0;1972;9;2
1471;Robert Aldrich;1;1962;0;3
1473;Ottavio Alessi;0;1964;0;0
1474;Waris Hussein;0;1970;0;0
1475;RenÃ© ClÃ©ment;0;1960;0;5
1479;Mel Brooks;0;1991;8;0
1480;Biagio Proietti;0;1984;0;0
1481;John Erman;1;1983;0;0
1485;Paul Flaherty;0;1989;0;0
1486;Ulu Grosbard;1;1971;0;1
1488;Raffaello Matarazzo;1;1953;7;4
1491;Mike Nichols;1;1966;0;0
1492;Ian Sharp;1;1983;0;0
1493;Walter Hill;0;1985;1;2
1495;Sergio Corbucci;0;1960;0;1
1496;Peter Yates;0;1974;2;0
1497;Sergio Corbucci;0;1981;19;2
1500;Michael Apted;0;1981;0;1
1505;Michele Lupo;0;1978;4;0
1509;Costa-Gavras;1;1979;0;4
1513;Giuseppe Piccioni;0;1991;1;0
1522;Oreste Biancoli;0;1941;0;1
1523;Michele Lupo;0;1980;6;0
1529;Claude Lelouch;0;1990;8;7
1536;Marco Ferreri;1;1978;6;2
1537;E.B. Clucher (Enzo Barboni);0;1981;2;0
1539;Nunzio Malasomma;1;1934;0;0
1547;Luis BuÃ±uel;1;1953;1;6
1551;Norman Jewison;0;1965;3;0
1552;Steno;0;1953;9;1
